row_index,id,title,entity,entity_type,ticker,event_type,risk_score,justification,confidence,event_severity,num_sources,anomaly_factor,market_factor,volatility,leverage,liquidity,raw_score
0,002856d5a68f576a39f911a5f4f9116397cf2cc69574b2299fe464af837537c8,BNY gets licence for Saudi regional HQ as global banks grow presence - Reuters,,,BK,regulatory_action,1.19,"BNY's acquisition of a Saudi regional license validates compliance with local regulations, mitigating operational and legal risks associated with expanding into new markets.",0.9,0.7,1,1.0,0.8936,1.109,0.5,1.0,0.9532
1,02126cff8c6c89742198efbd3710b0d066097b462cff60ba5d21b8a319c09f0f,Moody’s and MSCI Partner for Private Credit Risk Modelling Tool - planadviser,,,BK,regulatory_action,1.88,"The partnership for creating a new credit risk model may prompt compliance adjustments under financial regulations, impacting the entity's operational framework.",0.9,0.7,1,1.5773502691896257,0.8936,1.109,0.5,1.0,1.5035
2,03fc0d93026da945e16cf6bcdeded87e03c5bee1d043ec6f2c70c330b4641bc1,Lending Stocks For Passive Income Made Possible by New eToro and BNY Launch - The Fintech Times,,,BK,counterparty_default,1.7,Investors holding these lending stocks face credit risks if underlying borrowers or issuaries default on their obligations.,0.9,1.0,1,1.0,0.8936,1.109,0.5,1.0,1.3617
2,03fc0d93026da945e16cf6bcdeded87e03c5bee1d043ec6f2c70c330b4641bc1,Lending Stocks For Passive Income Made Possible by New eToro and BNY Launch - The Fintech Times,,,BK,liquidity_stress,1.53,"The new product may lack sufficient market depth, causing difficulties in selling shares quickly during volatile periods without significant price impact.",0.9,0.9,1,1.0,0.8936,1.109,0.5,1.0,1.2255
3,05fd3f60e2c90710c3ffe74d45e18fa2dc6ba41fdcf7d82f9a96a5b9c4cd2989,PIMCO opens first Korean office in Jeonju to enhance national pension management - CHOSUNBIZ - Chosunbiz,,,BK,unknown_event,1.0,No specific event detected,0.9,0.1,1,1.0,0.8936,1.109,0.5,1.0,0.1362
4,0645a699996a4e923bfdc185ea09b486b70e48cf4d52b493f08e115a2ec08255,"Iran Told Trump It Wants Peace, Won’t Back Down Against Threats - Bloomberg.com",,,BK,sanctions_exposure,1.45,"Iran's defiant stance may escalate geopolitical tensions, increasing compliance risks and financial penalties for entities engaged in activities with Iranian markets or sanctioned assets.",0.9,0.85,1,1.0,0.8936,1.109,0.5,1.0,1.1574
5,07989d591ea3362a4454b42bf4c688e451dfc0bcdeb375387fe6ac2c82bc92d7,Major US banks dial down information sharing with OCC after email hack - Finextra Research,,,BK,liquidity_stress,1.53,The reduced information sharing may indicate heightened liquidity risk due to potential customer withdrawals or operational disruptions following a cybersecurity incident.,0.9,0.9,1,1.0,0.8936,1.109,0.5,1.0,1.2255
5,07989d591ea3362a4454b42bf4c688e451dfc0bcdeb375387fe6ac2c82bc92d7,Major US banks dial down information sharing with OCC after email hack - Finextra Research,,,BK,fraud_investigation,1.53,"An email-based hack suggests fraudulent activities, prompting internal/external investigations into the breach and associated risks.",0.9,0.9,1,1.0,0.8936,1.109,0.5,1.0,1.2255
6,1498cb698ed72d99cbcc7e600387bc2fc1e288e05b57f10084e532ded53a100c,BNY pilots first intraday triparty repo trade - Securities Finance Times,,,BK,unknown_event,1.0,No specific event detected,0.9,0.1,1,1.0,0.8936,1.109,0.5,1.0,0.1362
7,14ac92cdf6f3df1756c002013d0f8a3a937262ae30ebbab36a63116f2b6d76db,BNY obtains regional headquarters licence in Saudi Arabia - Securities Finance Times,,,BK,unknown_event,1.0,No specific event detected,0.9,0.1,1,1.0,0.8936,1.109,0.5,1.0,0.1362
